Date,Chat
"10/03/24, 09:19",shivareddy: 1. When did you eat dinner last night?   8:30 2. When did you sleep last night?    10:30 3. When did you wake up today morning?  9:00 4. How many hours did you sleep?  10:30
"11/03/24, 05:12",shivareddy: 1. When did you eat dinner last night? 7:30 2. When did you sleep last night? 11 3. When did you wake up today morning? 5 4. How many hours did you sleep? 6
"12/03/24, 05:30",shivareddy: 1. When did you eat dinner last night?  7: 45 2. When did you sleep last night?   9: 30 3. When did you wake up today morning?  5:00 Am 4. How many hours did you sleep? 7:30 hrs
"13/03/24, 06:01",shivareddy: 1. When did you eat dinner last night? 7:30 2. When did you sleep last night? 10pm 3. When did you wake up today morning? 6 am 4. How many hours did you sleep? 8 hrs
"14/03/24, 07:14",shivareddy: 1. When did you eat dinner last night?  8 pm 2. When did you sleep last night?  10pm 3. When did you wake up today morning? 7 am 4. How many hours did you sleep? 9 hrs
"15/03/24, 06:38",shivareddy: 1. When did you eat dinner last night? 9:30 2. When did you sleep last night?  10:30 3. When did you wake up today morning? 5:30 4. How many hours did you sleep? 7 hrs
"16/03/24, 08:02",shivareddy: 1. When did you eat dinner last night? 7:30 2. When did you sleep last night? 9:30 3. When did you wake up today morning? 8:00 4. How many hours did you sleep? 11 hrs
"17/03/24, 07:57",shivareddy: 1. When did you eat dinner last night?  7:30 2. When did you sleep last night? 9:30 3. When did you wake up today morning? 6:30 4. How many hours did you sleep? 9hrs
"18/03/24, 06:04",shivareddy: 1. When did you eat dinner last night?  9:00 2. When did you sleep last night? 11:30 3. When did you wake up today morning? 6am 4. How many hours did you sleep?6:30
"19/03/24, 07:06",shivareddy: 1. When did you eat dinner last night? 9:30 2. When did you sleep last night? 11 3. When did you wake up today morning? 6:30 4. How many hours did you sleep? 7:30
"20/03/24, 06:46",shivareddy: 1. When did you eat dinner last night? Not 2. When did you sleep last night?   9:30 3. When did you wake up today morning? 6:30 4. How many hours did you sleep? 9hrs
"21/03/24, 06:41",shivareddy: 1. When did you eat dinner last night?  8 2. When did you sleep last night? 9:30 3. When did you wake up today morning? 5 4. How many hours did you sleep? 7:30
"22/03/24, 05:08",shivareddy: 1. When did you eat dinner last night?8:30 2. When did you sleep last night? 10:30 3. When did you wake up today morning? 5:00 4. How many hours did you sleep? 6:30
"23/03/24, 06:56",shivareddy: 1. When did you eat dinner last night? 7:30 2. When did you sleep last night? 9:30 3. When did you wake up today morning?6:30 4. How many hours did you sleep?9:00
"24/03/24, 08:36",shivareddy: 1. When did you eat dinner last night? 8:30 2. When did you sleep last night? 11:30 3. When did you wake up today morning? 8:30 4. How many hours did you sleep?9hrs
"25/03/24, 07:52",shivareddy: 1. When did you eat dinner last night? 6:30 2. When did you sleep last night? 11 3. When did you wake up today morning? 7:45 4. How many hours did you sleep?8:45
"26/03/24, 07:08",shivareddy: 1. When did you eat dinner last night? 8:30 2. When did you sleep last night? 10:30 3. When did you wake up today morning? 6:30 4. How many hours did you sleep? 8
"27/03/24, 05:42",shivareddy: 1. When did you eat dinner last night? 5 2. When did you sleep last night?  9:00 3. When did you wake up today morning? 5:00 4. How many hours did you sleep? 8hrs
"28/03/24, 08:33",shivareddy: 1. When did you eat dinner last night?  7 2. When did you sleep last night? 8:30 3. When did you wake up today morning? 5:00 4. How many hours did you sleep?  8:30
"29/03/24, 08:44",shivareddy: 1. When did you eat dinner last night? 7 2. When did you sleep last night? 9:30 3. When did you wake up today morning? 6:30 4. How many hours did you sleep? 9 hrs
"30/03/24, 08:40",shivareddy: 1. When did you eat dinner last night? 8:30 2. When did you sleep last night?10 3. When did you wake up today morning? 6:30 4. How many hours did you sleep? 8:30
"31/03/24, 08:04",shivareddy: 1. When did you eat dinner last night?  4:30 2. When did you sleep last night? 10 3. When did you wake up today morning? 7:30 4. How many hours did you sleep? 9:30
"01/04/24, 09:45",shivareddy: 1. When did you eat dinner last night?  4:30 2. When did you sleep last night?  10:30 3. When did you wake up today morning?7:30 4. How many hours did you sleep? 9 hrs
"02/04/24, 10:44",shivareddy: 1. When did you eat dinner last night?  6:30 2. When did you sleep last night? 10:30 3. When did you wake up today morning? 7 4. How many hours did you sleep? 8:30
"03/04/24, 07:18",shivareddy: 1. When did you eat dinner last night?  8:30 2. When did you sleep last night? 10:30 3. When did you wake up today morning? 7 4. How many hours did you sleep? 8:30
"04/04/24, 05:19",shivareddy: 1. When did you eat dinner last night?  8:15 2. When did you sleep last night? 9:30 3. When did you wake up today morning? 5 4. How many hours did you sleep? 7:30
"05/04/24, 07:44",shivareddy: 1. When did you eat dinner last night?  9 2. When did you sleep last night? 9:30 3. When did you wake up today morning? 5 4. How many hours did you sleep? 7:30
"06/04/24, 04:29",shivareddy: 1. When did you eat dinner last night?  9 2. When did you sleep last night? 10 3. When did you wake up today morning? 4 4. How many hours did you sleep? 6
"07/04/24, 08:01",shivareddy: 1. When did you eat dinner last night?  8:30 2. When did you sleep last night? 12. Help to fnd 3. When did you wake up today morning? 8 4. How many hours did you sleep? 8 <This message was edited>
"09/04/24, 10:03",shivareddy: 1. When did you eat dinner last night? 2. When did you sleep last night? 3. When did you wake up today morning? 4. How many hours did you sleep?
"09/04/24, 10:04",shivareddy: 1. When did you eat dinner last night?  9pm 2. When did you sleep last night?  10:30pm 3. When did you wake up today morning? 5:30 4. How many hours did you sleep? 7 hrs
"10/04/24, 09:10",shivareddy: 1. When did you eat dinner last night?  8 2. When did you sleep last night? 10:30 3. When did you wake up today morning? 8:30 4. How many hours did you sleep? 10 hrs
"12/04/24, 09:41",shivareddy: 1. When did you eat dinner last night?  6:30 2. When did you sleep last night? 10:30 3. When did you wake up today morning? 6:30 4. How many hours did you sleep? 8
"13/04/24, 08:53",shivareddy: 1. When did you eat dinner last night?  8:30 2. When did you sleep last night? 10:30 3. When did you wake up today morning? 8:00 4. How many hours did you sleep? 9:30
"14/04/24, 07:59",shivareddy: 1. When did you eat dinner last night?  8:30 2. When did you sleep last night? 10:30 3. When did you wake up today morning? 7:30 4. How many hours did you sleep? 9:00
"15/04/24, 04:31",shivareddy: 1. When did you eat dinner last night?  7:30 2. When did you sleep last night? 10 3. When did you wake up today morning? 4:30 4. How many hours did you sleep? 6:30
"16/04/24, 08:25",shivareddy: 1. When did you eat dinner last night?  7:30 2. When did you sleep last night?  9:30 3. When did you wake up today morning? 8:20 4. How many hours did you sleep?10:50
"17/04/24, 04:44",shivareddy: 1. When did you eat dinner last night?  6:45 2. When did you sleep last night? 9:30 3. When did you wake up today morning? 4:30 4. How many hours did you sleep? 7
"18/04/24, 05:46",shivareddy: 1. When did you eat dinner last night?  7:30 2. When did you sleep last night? 9:30 3. When did you wake up today morning? 5:45 4. How many hours did you sleep? 8:15 5. <This message was edited>
"19/04/24, 06:13",shivareddy: 1. When did you eat dinner last night?  6:30 2. When did you sleep last night? 9 3. When did you wake up today morning? 6 4. How many hours did you sleep? 9hrs
"20/04/24, 08:45",shivareddy: 1. When did you eat dinner last night?  6:30 2. When did you sleep last night? 10 3. When did you wake up today morning? 8:30 4. How many hours did you sleep? 10:30
"21/04/24, 08:11",shivareddy: 1. When did you eat dinner last night?  6:30 2. When did you sleep last night? 10 3. When did you wake up today morning? 8:00 4. How many hours did you sleep? 10:30
"22/04/24, 08:19",shivareddy: 1. When did you eat dinner last night?  6:30 2. When did you sleep last night?   10 3. When did you wake up today morning?  7 4. How many hours did you sleep?  9hrs
"23/04/24, 08:15",shivareddy: 1. When did you eat dinner last night?  6:30 2. When did you sleep last night?   9 3. When did you wake up today morning?  7 4. How many hours did you sleep?  10 <This message was edited>
"24/04/24, 09:08",shivareddy: 1. When did you eat dinner last night?  6: 0 2. When did you sleep last night? 9:0 3. When did you wake up today morning? 4:30 4. How many hours did you sleep?7:30
"25/04/24, 08:59","shivareddy: 1. When did you eat dinner last night?  8:30 2. When did you sleep last night? 10:30 3. When did you wake up today morning? 3.  But slept at 4, woke 8:45 4. How many hours did you sleep?9:15"
"26/04/24, 06:55",shivareddy: 1. When did you eat dinner last night?  12 pm 2. When did you sleep last night? 7:00 3. When did you wake up today morning? 4:30 4. How many hours did you sleep?9:30
"27/04/24, 09:17",shivareddy: 1. When did you eat dinner last night?  7 2. When did you sleep last night? 10 3. When did you wake up today morning? 6:30 4. How many hours did you sleep? 8:30
"28/04/24, 06:02",shivareddy: 1. When did you eat dinner last night?  8:30 2. When did you sleep last night? 11 3. When did you wake up today morning? 6:00 4. How many hours did you sleep? 7:00
"30/04/24, 08:49",shivareddy: 1. When did you eat dinner last night?  6:30 2. When did you sleep last night? Around 11:30 3. When did you wake up today morning? 8:30 4. How many hours did you sleep? 9 hrs
"01/05/24, 14:19",shivareddy: 1. When did you eat dinner last night?  6:30 2. When did you sleep last night? Around 9:30 3. When did you wake up today morning? 8:30 4. How many hours did you sleep? 11 hrs
"02/05/24, 07:28",shivareddy: 1. When did you eat dinner last night?  6:30 2. When did you sleep last night? Around 9:30 3. When did you wake up today morning? 4:30 4. How many hours did you sleep? 7:00
"03/05/24, 09:03",shivareddy: 1. When did you eat dinner last night?  8:30 2. When did you sleep last night? Around 11:30 3. When did you wake up today morning? 9 4. How many hours did you sleep? 9:30
"04/05/24, 03:19",shivareddy: 1. When did you eat dinner last night?  6:00 2. When did you sleep last night?  8:30 3. When did you wake up today morning? 3:00 4. How many hours did you sleep?  6:30
"05/05/24, 09:03",shivareddy: 1. When did you eat dinner last night?   Didn't 2. When did you sleep last night?   9:30 3. When did you wake up today morning? 4:30 4. How many hours did you sleep?  7hrs
"06/05/24, 10:29",shivareddy: 1. When did you eat dinner last night?   Didn't 2. When did you sleep last night?   12 3. When did you wake up today morning? 7:00 4. How many hours did you sleep?  7
"07/05/24, 07:17",shivareddy: 1. When did you eat dinner last night?  8:30 2. When did you sleep last night? 11 3. When did you wake up today morning? 5 4. How many hours did you sleep?  6hrs
"08/05/24, 16:01",shivareddy: 1. When did you eat dinner last night?  8 2. When did you sleep last night? 10:30 3. When did you wake up today morning? 7:30 4. How many hours did you sleep?  9hrs
"09/05/24, 09:34",shivareddy: 1. When did you eat dinner last night?  6pm 2. When did you sleep last night?  10pm 3. When did you wake up today morning?  8:30 4. How many hours did you sleep? 10:30
"09/05/24, 14:00",shivareddy: 1. When did you eat dinner last night? 2. When did you sleep last night? 3. When did you wake up today morning? 4. How many hours did you sleep?
"10/05/24, 08:18",shivareddy: 1. When did you eat dinner last night?  7:30 2. When did you sleep last night? 11 3. When did you wake up today morning?  8 4. How many hours did you sleep? 9
"11/05/24, 08:58",shivareddy: 1. When did you eat dinner last night?  7:30 2. When did you sleep last night? 9:30 3. When did you wake up today morning?  8 4. How many hours did you sleep? 10:30
